ProviderID,PType,ProviderName,NumberOfOption,GetAppPoint,URL,price (/mo),storage (GB),saving (in %),certificate,support,website,bandwidth,backup,database,ram,email,cores,GPU type,GPU size
1,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,0.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.0,NULL,NULL,M4000,8.0
2,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,0.51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.0,NULL,NULL,P4000,8.0
3,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,0.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.0,NULL,NULL,P5000,16.0
4,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,1.10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24.0,NULL,NULL,P6000,24.0
5,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,2.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.0,NULL,NULL,V100,16.0
6,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,0.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30.0,NULL,NULL,RTX4000,30.0
7,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,0.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30.0,NULL,NULL,RTX5000,30.0
8,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,0.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45.0,NULL,NULL,A4000,45.0
9,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,1.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45.0,NULL,NULL,A5000,45.0
10,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,1.89,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45.0,NULL,NULL,A6000,45.0
11,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,3.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90.0,NULL,NULL,A100,90.0
12,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90.0,NULL,NULL,A100,90.0
13,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,1.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32.0,NULL,NULL,P5000,32.0
14,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,2.20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.0,NULL,NULL,P6000,60.0
15,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,4000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.0,NULL,NULL,M4000,8.0
16,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,4000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.0,NULL,NULL,P4000,8.0
17,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,5000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.0,NULL,NULL,P5000,16.0
18,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,6000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24.0,NULL,NULL,P6000,24.0
19,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.0,NULL,NULL,V100,16.0
20,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,4000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30.0,NULL,NULL,RTX4000,30.0
21,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,5000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30.0,NULL,NULL,RTX5000,30.0
22,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,4000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44.0,NULL,NULL,A4000,44.0
23,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,5000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44.0,NULL,NULL,A5000,44.0
24,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,6000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90.0,NULL,NULL,A6000,90.0
25,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90.0,NULL,NULL,A100,90.0
26,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90.0,NULL,NULL,A100,90.0
27,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,1.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32.0,NULL,NULL,P5000,32.0
28,vm,paperspace,28,3.4,https://www.paperspace.com/pricing,2.20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.0,NULL,NULL,P6000,60.0
